Number,Name,InData,Thiaminase,Order
98,Balitoridae_Homaloptera_ogilvei_I2666-107,0,NA,NA
1132,Banjosidae_Banjos_banjos_N01542,0,NA,NA
660,Barbourisiidae_Barbourisia_rufa_G01222,0,NA,NA
1143,Bathyclupeidae_Bathyclupea_argentea_M01543,0,NA,NA
600,Bathygadidae_Gadomus_dispar_E00455,0,NA,NA
450,Bathylagidae_Bathylagus_euryops_G01224,0,NA,NA
1233,Bathymasteridae_Rathbunella_hypoplecta_E00128,0,NA,NA
523,Bathysauridae_Bathysaurus_ferox_E00785,0,NA,NA
770,Bedotiidae_Rheocles_wrightae_G01467,0,NA,NA
722,Belonidae_Xenentodon_cancila_G01508,0,NA,NA
1313,Bembridae_Bembras_japonica_N01723,0,NA,NA
1190,Bembropidae_Bembrops_gobioides_E01128,0,NA,NA
651,Berycidae_Beryx_decadactylus_E00159,0,NA,NA
946,Bothidae_Chascanopsetta_lugubris_E01181,0,NA,NA
90,Botiidae_Yasuhikotakia_lecontei_I2576-JWA0285,0,NA,NA
1933,Bramidae_Brama_brama_E00970,0,NA,NA
1580,Callanthiidae_Grammatonotus_surugaensis_N05516,0,NA,NA
268,Callichthyidae_Callichthys_callichthys_P02_G05_RG69,0,NA,NA
1861,Callionymidae_Draculo_mirabilis,0,NA,NA
1368,Caproidae_Antigonia_capros_E01024,0,NA,NA
1940,Caristiidae_Caristius_sp_E00810,0,NA,NA
1857,Centriscidae_Centriscus_scutatus,0,NA,NA
1691,Centrogenyidae_Centrogenys_vaigiensis_G01239,0,NA,NA
1927,Centrolophidae_Icichthys_lockingtoni_E00387,0,NA,NA
924,Centropomidae_Centropomus_undecimalis_E00194,0,NA,NA
1359,Cepolidae_Cepola_macrophthalma_M01566,0,NA,NA
1383,Ceratiidae_Cryptopsaras_couesii_E00686,0,NA,NA
662,Cetomimidae_Cetostoma_regani_E01060,0,NA,NA
282,Cetopsidae_Helogenes_marmoratus_P02_H03_RG88,0,NA,NA
842,Chaenopsidae_Acanthemblemaria_aspera_E00320,0,NA,NA
360,Chalceidae_Chalceus_epakros_P1_A08_RG16,0,NA,NA
1150,Champsodontidae_Champsodon_snyderi_N06574,0,NA,NA
1393,Chaunacidae_Chaunax_suttkusi_E01117,0,NA,NA
1104,Cheilodactylidae_Cheilodactylus_fasciatus_E00795,0,NA,NA
1698,Cheimarrichthyidae_Cheimarrichthys_fosteri_N07713,0,NA,NA
1902,Chiasmodontidae_Chiasmodon_sp_N33662,0,NA,NA
433,Chilodontidae_Caenotropus_labyrinthicus_P1_C02_RG67,0,NA,NA
54,Chirocentridae_Chirocentrus_dorab_G01251,0,NA,NA
1106,Chironemidae_Chironemus_georgianus_M01569,0,NA,NA
532,Chlorophthalmidae_Chlorophthalmus_agassizi_E00045,0,NA,NA
1094,Cirrhitidae_Amblycirrhitus_pinos_E00314,0,NA,NA
934,Citharidae_Citharoides_macrolepis_E00071,0,NA,NA
339,Citharinidae_Citharinus_congicus_P3_C03_RG63,0,NA,NA
292,Claroteidae_Parauchenoglanis_balayi_P02_D09_RG64,0,NA,NA
860,Clinidae_Gibbonsia_metzi_N09738,0,NA,NA
771,Congrogadidae_Natalichthys_sam_E00589,0,NA,NA
1046,Coryphaenidae_Coryphaena_hippurus_E00937,0,NA,NA
1148,Creediidae_Limnichthys_sp_E01081,0,NA,NA
353,Crenuchidae_Characidium_purpuratum_P1_E07_RG44,0,NA,NA
1239,Cryptacanthodidae_Cryptacanthodes_maculatus_E00116,0,NA,NA
356,Ctenoluciidae_Boulengerella_lateristriga_P1_D05_RG71,0,NA,NA
434,Curimatidae_Curimatopsis_crypticus_P3_H01_RG13,0,NA,NA
956,Cyclopsettidae_Paralichthys_dentatus_N24591,0,NA,NA
412,Cynodontidae_Cynodon_gibbus_P1_H02_RG32,0,NA,NA
1897,Dactylopteridae_Dactyloptena_orientalis,0,NA,NA
849,Dactyloscopidae_Gillellus_semicinctus_G01299,0,NA,NA
1505,Datnioididae_Datnioides_microlepis_N14199,0,NA,NA
1113,Dichistiidae_Dichistius_capensis_M01571,0,NA,NA
8,Didelphidae_Monodelphis_domestica_G01378,0,NA,NA
1964,Dinematichthyidae_Dinematichthys_iluocoeteoides_E00235,0,NA,NA
1408,Diodontidae_Chilomycterus_schoepfii_E00517,0,NA,NA
281,Diplomystidae_Diplomystes_nahuelbutaensis_P02_C05_RG81,0,NA,NA
642,Diretmidae_Diretmus_argenteus_E01114,0,NA,NA
342,Distichodontidae_Neolebias_ansorgii_P02_G08_RG68,0,NA,NA
314,Doradidae_Acanthodoras_spinosissimus_P02_C08_RG17,0,NA,NA
1618,Drepaneidae_Drepane_punctata_E00250,0,NA,NA
1084,Elassomatidae_Elassoma_okefenokee_G01283,0,NA,NA
1324,Eleginopsidae_Eleginops_maclovinus_G01286,0,NA,NA
25,Elopidae_Elops_saurus_E00769,0,NA,NA
809,Embiotocidae_Amphistichus_argenteus_E00129,0,NA,NA
1547,Emmelichthyidae_Erythrocles_schlegelii_E00954,0,NA,NA
1083,Enoplosidae_Enoplosus_armatus_G01287,0,NA,NA
1619,Ephippidae_Chaetodipterus_faber_E00614,0,NA,NA
1129,Epigonidae_Epigonus_pandionis_E01019,0,NA,NA
410,Erythrinidae_Hoplias_aimara_P1_G04_RG10,0,NA,NA
31,Eurypharyngidae_Eurypharynx_pelecanoides_G01292,0,NA,NA
544,Evermannellidae_Evermannella_balbo_E00815,0,NA,NA
713,Exocoetidae_Parexocoetus_brachypterus_E00645,0,NA,NA
628,Gaidropsaridae_Enchelyopus_cimbrius_E00369,0,NA,NA
455,Galaxiidae_Aplochiton_taeniatus_G01517,0,NA,NA
364,Gasteropelecidae_Carnegiella_marthae_P1_D07_RG86,0,NA,NA
99,Gastromyzontidae_Pseudogastromyzon_myersi_I2628-10,0,NA,NA
1932,Gempylidae_Paradiplospinus_gracilis_N15143,0,NA,NA
1702,Gerreidae_Gerres_longirostris_E00835,0,NA,NA
1380,Gigantactinidae_Gigantactis_sp_N34852,0,NA,NA
527,Giganturidae_Gigantura_indica_E00658,0,NA,NA
1112,Girellidae_Girella_nigricans_mezina_E00197,0,NA,NA
1151,Glaucosomatidae_Glaucosoma_hebraicum_G01300,0,NA,NA
204,Gobionidae_Squalidus_chankaensissubsp_I2676-147,0,NA,NA
71,Gonorynchidae_Gonorynchus_abbreviatus_M17025,0,NA,NA
481,Gonostomatidae_Diplophos_taenia_E00492,0,NA,NA
827,Grammatidae_Lipogramma_trilineata_E00210,0,NA,NA
48,Gymnarchidae_Gymnarchus_niloticus_G01307,0,NA,NA
78,Gyrinocheilidae_Gyrinocheilus_aymonieri_I2728-AUF5008,0,NA,NA
1549,Haemulidae_Plectorhinchus_chaetodonoides_E00857,0,NA,NA
29,Halosauridae_Halosauropsis_macrochir_E00788,0,NA,NA
1507,Hapalogenyidae_Hapalogenys_kishinouyei_M01723,0,NA,NA
1332,Harpagiferidae_Harpagifer_antarcticus_G01524,0,NA,NA
1068,Helostomatidae_Helostoma_temminkii_G01315,0,NA,NA
414,Hemiodontidae_Bivibranchia_fowleri_P1_G03_RG22,0,NA,NA
399,Hepsetidae_Hepsetus_odoe_P3_F08_RG89,0,NA,NA
330,Heptapteridae_Rhamdia_quelen_P1_A11_RG25,0,NA,NA
1269,Hexagrammidae_Hexagrammos_decagrammus_E00348,0,NA,NA
1390,Himantolophidae_Himantolophus_albinares_sagamius_E00656,0,NA,NA
41,Hiodontidae_Hiodon_tergisus_G01325,0,NA,NA
10,Hominidae_Homo_sapiens_G01328,0,NA,NA
1319,Hoplichthyidae_Hoplichthys_gilberti_N17743,0,NA,NA
1125,Howellidae_Howella_brodiei_E00816,0,NA,NA
254,Hypopomidae_Brachyhypopomus_sp_P02_F02_RG78,0,NA,NA
1266,Hypoptychidae_Aulichthys_japonicus_G01216,0,NA,NA
1926,Icosteidae_Icosteus_aenigmaticus_G01336,0,NA,NA
362,Iguanodectidae_Bryconops_melanurus_P1_F04_RG45,0,NA,NA
1051,Indostomidae_Indostomus_paradoxus_E01156,0,NA,NA
524,Ipnopidae_Bathypterois_grallator_E01017,0,NA,NA
757,Isonidae_Iso_sp_E00145,0,NA,NA
1039,Istiophoridae_Kajikia_albida_E00681,0,NA,NA
75,Kneriidae_Phractolaemus_ansorgii_M25171,0,NA,NA
1115,Kuhliidae_Kuhlia_mugil_E00712,0,NA,NA
1709,Kurtidae_Kurtus_indicus_N17950,0,NA,NA
1121,Kyphosidae_Kyphosus_incisor_E00202,0,NA,NA
847,Labrisomidae_Paraclinus_marmoratus_E00309,0,NA,NA
915,Lactariidae_Lactarius_lactarius_Qatar_M01593,0,NA,NA
580,Lampridae_Lampris_guttatus_E00682,0,NA,NA
1147,Lateolabracidae_Lateolabrax_japonicus_E01130,0,NA,NA
1102,Latridae_Latris_lineata_M01595,0,NA,NA
357,Lebiasinidae_Pyrrhulina_filamentosa_P1_F05_RG92,0,NA,NA
1510,Leiognathidae_Gazza_minuta_G01298,0,NA,NA
449,Lepidogalaxiidae_Lepidogalaxias_salamandroides_G01350,0,NA,NA
6,Lepidosirenidae_Lepidosiren_paradoxa_G01352,0,NA,NA
1035,Leptobramidae_Leptobrama_muelleri_E01150,0,NA,NA
543,Lestidiidae_Lestidiops_jayakari_E00497,0,NA,NA
1461,Lethrinidae_Monotaxis_grandoculis_G01379,0,NA,NA
1506,Lobotidae_Lobotes_pacificus_surinamensis_G01359,0,NA,NA
579,Lophotidae_Lophotus_lacepede_E00822,0,NA,NA
270,Loricariidae_Harttia_platystoma_P02_F04_RG45,0,NA,NA
1561,Lutjanidae_Lutjanus_griseus_N20115,0,NA,NA
1598,Luvaridae_Luvarus_imperialis_E00509,0,NA,NA
1582,Malacanthidae_Malacanthus_plumieri_E00774,0,NA,NA
653,Melamphaidae_Poromitra_crassiceps_E01061,0,NA,NA
1391,Melanocetidae_Melanocetus_murrayi_E00477,0,NA,NA
917,Menidae_Mene_maculata_E01131,0,NA,NA
451,Microstomatidae_Nansenia_longicauda_ardesiaca_E00814,0,NA,NA
290,Mochokidae_Synodontis_batesii_P02_E08_RG04,0,NA,NA
1423,Molidae_Ranzania_laevis_G01463,0,NA,NA
1426,Monacanthidae_Aluterus_scriptus_E00316,0,NA,NA
644,Monocentridae_Monocentris_japonica_G01376,0,NA,NA
1616,Monodactylidae_Monodactylus_sebae_N21267,0,NA,NA
617,Moridae_Physiculus_fulvus_E01009,0,NA,NA
1883,Mullidae_Parupeneus_multifasciatus,0,NA,NA
38,Muraenesocidae_Muraenesox_cinereus_G01381,0,NA,NA
616,Muraenolepididae_Muraenolepis_marmorata_M01728,0,NA,NA
9,Muridae_Mus_musculus_G01382,0,NA,NA
553,Myctophidae_Notolychnus_valdiviae_E00011,0,NA,NA
1063,Nandidae_Nandus_andrewi_N22312,0,NA,NA
1044,Nematistiidae_Nematistius_pectoralis_E01146,0,NA,NA
260,Nematogenyidae_Nematogenys_inermis_P02_B05_RG90,0,NA,NA
33,Nemichthyidae_Nemichthys_scolopaceus_G01393,0,NA,NA
1457,Nemipteridae_Pentapodus_caninus_G01427,0,NA,NA
4,Neoceratodontidae_Neoceratodus_forsteri_G01534,0,NA,NA
549,Neoscopelidae_Neoscopelus_macrolepidotus_E00451,0,NA,NA
1338,Niphonidae_Niphon_spinosus_G01398,0,NA,NA
1909,Nomeidae_Psenes_maculatus_N23089,0,NA,NA
28,Notacanthidae_Notacanthus_chemnitzii_G01399,0,NA,NA
49,Notopteridae_Xenomystus_nigri_G01510,0,NA,NA
535,Notosudidae_Ahliesaurus_berryi_E00661,0,NA,NA
1376,Ogcocephalidae_Halieutichthys_aculeatus_E01122,0,NA,NA
1386,Oneirodidae_Bertella_idiomorpha_E00386,0,NA,NA
39,Ophichthidae_Myrichthys_maculosus_G01385,0,NA,NA
1973,Ophidiidae_Petrotyx_sanguineus_E00206,0,NA,NA
452,Opisthoproctidae_Macropinna_microstoma_G01368,0,NA,NA
895,Opistognathidae_Opistognathus_maxillosus_E00207,0,NA,NA
1114,Oplegnathidae_Oplegnathus_punctatus_G01405,0,NA,NA
1403,Ostraciidae_Acanthostracion_quadricornis_E00760,0,NA,NA
1127,Ostracoberycidae_Ostracoberyx_dorygenys_N24448,0,NA,NA
105,Paedocyprididae_Paedocypris_sp_I2727-206,0,NA,NA
43,Pantodontidae_Pantodon_buchholzi_G01417,0,NA,NA
1314,Parabembridae_Parabembras_curtus_N24483,0,NA,NA
542,Paralepididae_Stemonosudis_intermedia_macrura_E00973,0,NA,NA
518,Paraulopidae_Paraulopus_oblongus_G01422,0,NA,NA
594,Parazenidae_Cyttopsis_rosea_E01032,0,NA,NA
428,Parodontidae_Apareiodon_orinocoensis_P1_H06_RG49,0,NA,NA
1900,Pegasidae_Eurypegasus_draconis,0,NA,NA
1153,Pempheridae_Parapriacanthus_ransonneti_E00923,0,NA,NA
1134,Pentacerotidae_Pentaceros_pectoralis_N01736,0,NA,NA
1110,Percalatidae_Macquaria_novemaculeata_G01432,0,NA,NA
1074,Percichthyidae_Maccullochella_peelii_G01365,0,NA,NA
1149,Percophidae_Acanthaphritis_unoorum_N24985,0,NA,NA
