Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Witch Flounder,Glyptocephalus cynoglossus,Nielands 1947,Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,3.2,60,25,0.335,PE,0,0,1,0,TL,3.5,76,13,1.52
NA,Gnathopogon caerulescens,Fujita 1954,Gobionidae,Cypriniformes ,Actinopteri,0,Temperate,Asia,1,NA,1,0,BP,0,1,0,0,IN,3.2,NA,NA,NA,BP,0,1,0,0,IN,3.9,250,NA,NA
Blunt-Nosed Clingfish,Gouania willdenowi,BLAST,Gobiesocidae,Gobiesociformes,Actinopteri,0,Subtropical,Europe,0,1,0,1,BE,1,0,0,0,TL,3.1,4.6,NA,NA,BE,1,0,0,0,IN,3.7,200,NA,0.171
Ploughfish,Gymnodraco acuticeps,BLAST,Bathydraconidae,Perciformes,Actinopteri,0,Polar,Antarctica,0,1,0,1,BE,1,0,0,0,TL,4.2,38.5,NA,NA,PE,0,0,1,0,TL,3,69,10,2.4
Ocellated Moray,Gymnothorax ocellatus,Greig and Gnaedinger 1971,Muraenidae,Anguilliformes,Actinopteri,1,Tropical,Worldwide,1,NA,1,1,BE,1,0,0,0,TL,4.1,90,NA,0.25,BP,0,1,0,1,TL,3.6,15,4,1.55
NA,Haplochromis nyererei,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,2.6,7.7,NA,NA,BP,0,1,0,0,TL,2.7,5,5,NA
Scaled Herring,Harengula jaguana,Greig and Gnaedinger 1971,Clupeidae,Clupeiformes,Actinopteri,1,Tropical,North America,1,NA,1,1,BE,1,0,0,0,TL,3.4,21.2,3,0.499,BP,0,1,0,0,IN,3.4,9,NA,NA
Asian Redtail Catfish,Hemibagrus wyckioides,BLAST,Bagridae,Siluriformes,Actinopteri,0,Subtropical,Asia,0,1,1,0,BE,1,0,0,0,IN,3.7,130,NA,0.238,BP,0,1,0,1,TL,2,60,9,0.407
Red-Tipped Halfbeak,Hyporhamphus xanthopterus,Deolalkar and Sohonie 1954,Hemiramphidae,Beloniformes,Actinopteri,1,Tropical,Indo-Pacific,1,NA,1,1,PE,0,0,1,0,TL,3,29.6,NA,NA,BP,0,1,0,1,TL,2.1,45.7,NA,0.428
Sea Raven,Hemitripterus americanus,"Greig and Gnaedinger 1971, Nielands 1947",Agonidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,4.5,64,NA,0.645,BP,0,1,0,1,TL,3.2,14,NA,NA
Tiger Tail Seahorse,Hippocampus comes,BLAST,Syngnathidae,Syngnathiformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.4,18.7,NA,0.13,PE,0,0,1,0,TL,3.2,15,2,1.21
American Plaice,Hippoglossoides platessoides,"Greig and Gnaedinger 1971, Nielands 1947",Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,4.1,82.6,30,0.366,PE,0,0,1,0,IN,3.3,15,NA,NA
Atlantic Halibut,Hippoglossus hippoglossus,"BLAST, Nielands 1947",Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,Worldwide,1,1,0,1,BE,1,0,0,0,TL,4,470,50,0.321,BP,0,1,0,1,TL,2,15,NA,NA
Pacific Halibut,Hippoglossus stenolepis,BLAST,Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,BE,1,0,0,0,TL,4.1,258,55,0.36,BP,0,1,0,1,IN,3.2,4,NA,NA
Mississippi Silvery Minnow,Hybognathus nuchalis,Chaet and Bishop 1952,Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,North America,1,NA,1,0,BP,0,1,0,0,IN,NA,18,2,NA,BP,0,1,0,0,TL,2.5,9.6,NA,NA
Pond Smelt,Hypomesus olidus,Fujita 1954,Osmeridae,Osmeriformes,Actinopteri,0,Boreal,Worldwide,1,NA,1,1,PE,0,0,1,0,TL,3.2,20,10,,BP,0,1,0,1,TL,2,11,NA,NA
Ohio Lamprey,Ichthyomyzon bdellium,Boggs et al. 2019,Petromyzontidae,Petromyzontiformes,Petromyzonti,0,Temperate,North America,1,NA,0,0,BE,1,0,0,0,IN,4.4,30,1,NA,BP,0,1,0,0,IN,3.1,15,NA,NA
Channel Catfish,Ictalurus punctatus,"BLAST, Greig and Gnaedinger 1971",Ictaluridae,Siluriformes,Actinopteri,0,Subtropical,North America,1,1,1,0,BE,1,0,0,1,IN,4.2,132,24,0.403,BP,0,1,0,1,TL,3.1,5.1,3,NA
NA,Ischikauia steenackeri,Fujita 1954,Xenocyprididae,Cypriniformes ,Actinopteri,0,Temperate,Asia,1,NA,1,0,BE,1,0,0,0,IN,3.2,30,NA,NA,BE,1,0,0,0,TL,3.5,8.2,NA,0.589
Mangrove Rivulus,Kryptolebias marmoratus,BLAST,Rivulidae,Cyprinodontiformes,Actinopteri,1,Tropical,Worldwide,0,1,0,1,BP,0,1,0,0,TL,3.2,4.5,NA,NA,BE,1,0,0,1,TL,3.4,35,NA,NA
Boggut Labeo,Labeo boggut,Deolalkar and Sohonie 1954,Cyprinidae,Cypriniformes ,Actinopteri,1,Tropical,Asia,1,NA,1,0,BP,0,1,0,0,IN,NA,29,NA,NA,BP,0,1,0,0,TL,3.4,4,NA,NA
Roho Labeo,Labeo rohita,BLAST,Cyprinidae,Cypriniformes ,Actinopteri,1,Tropical,Asia,0,1,1,0,BP,0,1,0,0,TL,2.2,200,10,0.351,BP,0,1,0,0,TL,3.5,150,44,0.434
Ballan Wrasse,Labrus bergylta,BLAST,Labridae,Eupercaria,Actinopteri,0,Temperate,Europe,0,1,0,1,BE,1,0,0,0,TL,3.2,65.9,29,0.295,BP,0,1,0,0,IN,3.2,13.5,NA,NA
Large Yellow Croaker,Larimichthys crocea,BLAST,Sciaenidae,Eupercaria,Actinopteri,0,Temperate,Asia,0,1,0,1,BP,0,1,0,0,TL,3.7,80,NA,0.996,BE,1,0,0,0,TL,4.5,250,55,0.433
Barramundi,Lates calcarifer,BLAST,Latidae,Carangaria,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.8,200,NA,0.407,BP,0,1,0,0,IN,3.9,90,NA,NA
Coelacanth,Latimeria chalumnae,BLAST,Latimeriidae,Coelacanthiformes,Coelacanthi,0,Deep-water,Africa,0,1,0,1,BE,1,0,0,0,TL,4.4,168,48,NA,BE,1,0,0,0,TL,4.4,200,NA,0.211
Spot Croaker,Leiostomus xanthurus,Greig and Gnaedinger 1971,Sciaenidae,Eupercaria,Actinopteri,0,Subtropical,North America,1,NA,0,1,BE,1,0,0,0,TL,3.2,36,4,0.684,BE,1,0,0,1,TL,3.1,64,10,1.45
Spotted Gar,Lepisosteus oculatus,BLAST,Lepisosteidae,Lepisosteiformes,Actinopteri,0,Subtropical,North America,0,1,1,0,BE,1,0,0,0,TL,4,150,18,0.518,BE,1,0,0,0,TL,3.4,12.1,7,NA
Longnose Gar,Lepisosteus osseus oxyurus,Greig and Gnaedinger 1971,Lepisosteidae,Lepisosteiformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BE,1,0,0,0,TL,4.2,200,36,0.532,PE,0,0,1,0,TL,3,16,6,1.16
Redbreast Sunfish,Lepomis auritus,"Boggs et al. 2019, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BE,1,0,0,1,IN,3.2,30.5,NA,NA,BP,0,1,0,0,TL,3.3,11,8,0.997
Pumpkinseed,Lepomis gibbosus,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,1,IN,3.3,40,12,NA,BP,0,1,0,0,TL,4.5,150,13,1.81
Bluegill,Lepomis macrochirus,"Riley and Evans 2008, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,1,IN,3.2,41,10,0.372,BP,0,1,0,0,TL,3.3,13,NA,NA
Common Dace,Leuciscus leuciscus,Hirn and Pekkanen 1975,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,Eurasia,1,NA,1,0,BP,0,1,0,1,TL,2.9,40,16,NA,BE,1,0,0,1,IN,3.7,55,9,NA
Asp,Leuciscus aspius,Chaet and Bishop 1952,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,Eurasia,1,NA,1,0,BP,0,1,0,0,TL,4.5,120,11,1.51,BP,0,1,0,0,TL,4.1,200,25,0.953
Ide,Leuciscus idus,"Chaet and Bishop 1952, Suomalainen and Pihlgren 1955",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,Eurasia,1,NA,1,0,BP,0,1,0,0,TL,3.8,85,18,1.37,BP,0,1,0,0,TL,3.1,48,10,1.74
Ice Goby,Leucopsarion petersii,Fujita 1954,Gobiidae,Gobiiformes,Actinopteri,0,Subtropical,Asia,1,NA,0,1,BE,1,0,0,0,TL,3.3,5.8,NA,NA,BP,0,1,0,1,TL,2.5,40,7,0.462
Yellowtail Flouder,Limanda ferruginea,Nielands 1947,Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,3.3,64,12,0.343,BE,1,0,0,0,TL,3.2,45.5,NA,NA
Tanaka's Snailfish,Liparis tanakae,BLAST,Liparidae,Perciformes,Actinopteri,0,Temperate,Asia,0,1,0,1,BE,1,0,0,0,TL,4.3,56.3,NA,0.611,BP,0,1,0,0,TL,3.1,82,23,1.24
Angler,Lophius piscatorius,"Greig and Gnaedinger 1971, Nielands 1947",Lophiidae,Lophiiformes,Actinopteri,0,Deep-water,Europe,1,NA,0,1,BE,1,0,0,0,TL,4.5,200,24,0.22,BP,0,1,0,0,TL,3.3,50,15,NA
Burbot,Lota lota,Greig and Gnaedinger 1971,Lotidae,Gadiformes,Actinopteri,0,Temperate,Worldwide,1,NA,1,0,BE,1,0,0,0,TL,3.8,152,20,0.666,BP,0,1,0,0,TL,4.5,120,11,1.51
Toothed Cuban Cusk-Eel,Lucifuga dentata,BLAST,Bythitidae,Ophidiiformes,Actinopteri,1,Tropical,Central America,0,1,0,1,BE,1,0,0,0,TL,3.3,15.2,NA,NA,BP,0,1,0,0,IN,NA,18,2,NA
Common Shiner,Luxilus cornutus,"Boggs et al. 2019, Kraft et al. 2014",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,2.8,18,6,NA,BP,0,1,0,1,TL,2.9,61.7,19,1.25
Smooth Skate,Malacoraja senta,Nielands 1947,Rajidae,Rajiformes,Actinopteri,0,Deep-water,North America,1,NA,0,1,BE,1,0,0,0,TL,3.5,61,NA,0.911,BP,0,1,0,0,TL,3.8,85,18,1.37
Zig-Zag Eel,Mastacembelus armatus,BLAST,Mastacembelidae,Synbranchiformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BE,1,0,0,0,TL,2.8,90,NA,0.314,BP,0,1,0,1,TL,3,50.2,14,0.8
Zebra Mbuna,Maylandia zebra,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BE,1,0,0,0,IN,2.3,11.3,NA,NA,BE,1,0,0,0,IN,3.4,51,6,NA
Tarpon,Megalops atlanticus,BLAST,Megalopidae,Elopiformes,Actinopteri,0,Subtropical,Worldwide,0,1,1,1,BE,1,0,0,0,TL,4.5,250,55,0.433,BP,0,1,0,0,IN,2.8,6.5,NA,NA
Indo-Pacific Tarpon,Megalops cyprinoides,BLAST,Megalopidae,Elopiformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,1,1,BP,0,1,0,0,TL,3.5,150,44,0.434,BE,1,0,0,0,IN,2.8,18,6,NA
Haddock,Melanogrammus aeglefinus,"Greig and Gnaedinger 1971, Nielands 1947",Gadidae,Gadiformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,4,112,20,0.55,BP,0,1,0,0,IN,3,7.6,2,NA
Boeseman's Rainbowfish,Melanotaenia boesemani,BLAST,Melanotaeniidae,Atheriniformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BP,0,1,0,0,IN,2.9,9,NA,NA,BE,1,0,0,0,IN,3.1,12.4,3,NA
Atlantic Silverside,Menidia menidia,BLAST,Atherinopsidae,Atheriniformes,Actinopteri,0,Temperate,North America,0,1,1,0,PE,0,0,1,0,TL,3.2,15,2,1.21,BE,1,0,0,0,TL,3.7,70,NA,1.49
Southern Kingcroaker,Menticirrhus americanus,Greig and Gnaedinger 1971,Sciaenidae,Eupercaria,Actinopteri,0,Subtropical,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,3.5,50,NA,0.679,BE,1,0,0,1,IN,3.2,30.5,NA,NA
Silver Hake,Merluccius bilinearis,Nielands 1947,Merlucciidae,Gadiformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,4.5,76,12,0.277,BE,1,0,0,0,TL,2.7,14,NA,0.135
Atlantic Croaker,Micropogonias undulatus,Greig and Gnaedinger 1971,Sciaenidae,Eupercaria,Actinopteri,0,Subtropical,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,4,55,5,0.607,BE,1,0,0,0,TL,3.8,40,NA,0.747
Smallmouth Bass,Micropterus dolomieu,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,1,IN,3.6,69,26,NA,BE,1,0,0,0,TL,3.6,125,20,0.808
Largemouth Bass,Micropterus salmoides,"BLAST, Greig and Gnaedinger 1971, Boggs et al. 2019, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Subtropical,Worldwide,1,1,0,0,BP,0,1,0,1,IN,3.8,97,23,0.397,BE,1,0,0,0,TL,3.3,90,NA,0.0927
Pond Loach,Misgurnus anguillicaudatus,Fujita 1954,Cobitidae,Cypriniformes ,Actinopteri,0,Subtropical,Worldwide,1,NA,1,0,BE,1,0,0,1,TL,3.2,28,NA,NA,BE,1,0,0,0,TL,4.2,105,28,0.927
Asian Swamp Eel,Monopterus albus,BLAST,Synbranchidae,Synbranchiformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BE,1,0,0,0,TL,2.9,100,NA,0.313,BE,1,0,0,0,TL,3.1,11,NA,0.173
White Perch,Morone americana,"Greig and Gnaedinger 1971, Neilands 1947",Moronidae,Eupercaria,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,1,TL,3.1,58,16,0.68,BE,1,0,0,0,TL,3,25,NA,0.388
White Bass,Morone chrysops,Greig and Gnaedinger 1971,Moronidae,Eupercaria,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,TL,4,45,9,NA,BE,1,0,0,0,TL,3.5,240,NA,0.32
Striped Bass,Morone saxatilis,BLAST,Moronidae,Eupercaria,Actinopteri,0,Temperate,North America,0,1,0,1,BE,1,0,0,0,TL,4.7,200,30,1.17,BE,1,0,0,1,TL,3.6,122,88,1.27
Shorthead Redhorse,Moxostoma macrolepidotum,Boggs et al. 2019,Catostomidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,TL,3.1,75,9,NA,BP,0,1,0,0,IN,2.6,11,NA,NA
Flathead Grey Mullet,Mugil cephalus,"Greig and Gnaedinger 1971, Fujita 1954",Mugilidae,Mugiliformes,Actinopteri,0,Subtropical,Worldwide,1,NA,0,1,BP,0,1,0,0,TL,2.5,100,16,0.761,BP,0,1,0,0,IN,3,15,NA,NA
Longhorn Sculpin,Myoxocephalus octodecemspinosus,Nielands 1947,Cottidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,3.6,46,11,1.18,BP,0,1,0,0,IN,3.3,8,NA,NA
Fourhorn Sculpin,Myoxocephalus quadricornis,Greig and Gnaedinger 1971,Cottidae,Perciformes,Actinopteri,0,Polar,North America,1,NA,1,1,BE,1,0,0,0,TL,3.9,60,14,0.903,BP,0,1,0,0,IN,3.3,6.5,2,NA
Deepwater Sculpin,Myoxocephalus thompsonii,Tillitt et al. 2005,Cottidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3.2,23,NA,NA,BE,1,0,0,0,TL,2,20,4,NA
Pinecone Soldierfish,Myripristis murdjan,BLAST,Holocentridae,Holocentriformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.4,60,NA,0.136,BE,1,0,0,0,TL,3.6,125,NA,0.489
Rio Pearlfish,Nematolebias whitei,BLAST,Rivulidae,Cyprinodontiformes,Actinopteri,1,Tropical,South America,0,1,0,0,BP,0,1,0,0,IN,3.3,8,NA,NA,BE,1,0,0,0,TL,4.5,117,NA,0.291
Round Goby,Neogobius melanostomus,"Tillitt et al. 2005, Honeyfield et al. 2012, Honeyfield et al. 2010",Gobiidae,Gobiiformes,Actinopteri,0,Temperate,Eurasia,1,NA,0,0,BE,1,0,0,1,TL,3.3,30,6,NA,PE,0,0,1,0,TL,4.5,640,36,NA
Fairy Cichlid,Neolamprologus brichardi,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,1,0,BP,0,1,0,0,IN,3.4,9,NA,NA,BP,0,1,0,1,IN,4.4,100,NA,NA
Yellow Drum,Nibea albiflora,BLAST,Sciaenidae,Eupercaria,Actinopteri,0,Temperate,Asia,0,1,0,1,BP,0,1,0,0,TL,4,43.5,4,0.585,BE,1,0,0,0,TL,4,229,32,0.0774
River Chub,Nocomis micropogon,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3.2,33,5,NA,BE,1,0,0,0,TL,3.5,20,10,0.318
Golden Shiner,Notemigonus crysoleucas,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,North America,1,NA,1,0,BE,1,0,0,0,TL,2.7,32,9,NA,BE,1,0,0,0,TL,4,83,25,0.106
Turquoise Killifish,Nothobranchius furzeri,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3.2,6.5,NA,0,BE,1,0,0,0,TL,3.6,19.8,NA,0.413
NA,Nothobranchius kadleci,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,PE,0,0,1,0,IN,3.2,3.9,NA,NA,BP,0,1,0,0,TL,3.7,110,54,0.228
Korthausae Killifish,Nothobranchius korthausae,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3.2,5,NA,NA,BE,1,0,0,0,TL,4.3,80,NA,0.399
Spotted Killifish,Nothobranchius kuhntae,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3.3,10,NA,NA,BE,1,0,0,0,TL,3.7,61.1,NA,NA
NA,Nothobranchius pienaari,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3.2,3.9,NA,NA,BP,0,1,0,0,TL,2.4,9,NA,0.731
Bluefin Notho,Nothobranchius rachovii,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3.2,6,NA,NA,PE,0,0,1,0,TL,3.9,200,39,0.339
Spotty,Notolabrus celidotus,BLAST,Labridae,Eupercaria,Actinopteri,0,Temperate,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.4,23.9,7,0.714,BE,1,0,0,0,TL,3.7,110,NA,0.27
Black Rockcod,Notothenia coriiceps,BLAST,Nototheniidae,Perciformes,Actinopteri,0,Polar,Antarctica,0,1,0,1,BE,1,0,0,0,TL,2.8,62,NA,0.289,BE,1,0,0,0,TL,4,270,NA,0.2
Emerald Shiner,Notropis atherinoides,"Riley and Evans 2008, Chaet and Bishop 1952",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,PE,0,0,1,0,IN,2.8,13,4,NA,BE,1,0,0,0,TL,3.3,37,NA,NA
Spottail Shiner,Notropis hudsonius,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Boggs et al. 2019, Zajicek et al. 2005, Chaet and Bishop 1952, Gnaedinger and Krzeczkowski 1966",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,2.1,15,5,NA,BP,0,1,0,0,IN,3.2,6,3,NA
Swallowtail Shiner,Notropis procne,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,IN,2.8,7.2,3,NA,BP,0,1,0,0,IN,3.3,7.2,NA,NA
Rosyface Shiner,Notropis rubellus,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,IN,3.1,11,3,NA,BE,1,0,0,0,TL,3.1,4.6,NA,NA
Bridle Shiner,Notropis bifrenatus,Chaet and Bishop 1952,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,IN,2.8,6.5,NA,NA,BE,1,0,0,0,TL,4.2,38.5,NA,NA
Mimic Shiner,Notropis volucellus,"Boggs et al. 2019, Chaet and Bishop 1952",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,IN,3,7.6,2,NA,BE,1,0,0,0,TL,3.4,18.7,NA,0.13
Margined Madtom,Noturus insignis,Boggs et al. 2019,Ictaluridae,Siluriformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BE,1,0,0,0,IN,3.3,15,NA,NA,BE,1,0,0,0,TL,4.1,258,55,0.36
NA,Odontobutis obscurus,Fujita 1954,Odontobutidae,Gobiiformes,Actinopteri,0,Temperate,Asia,1,NA,1,0,BP,0,1,0,0,IN,3.2,17.5,NA,NA,BP,0,1,0,0,IN,3.2,6,NA,NA
Chum Salmon,Oncorhynchus keta,BLAST,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,BP,0,1,0,0,TL,3.7,100,7,2.35,BP,0,1,0,0,TL,3.2,4.5,NA,NA
Coho Salmon,Oncorhynchus kisutch,"BLAST, Greig and Gnaedinger 1971",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,1,1,0,1,PE,0,0,1,1,TL,4.2,108,5,1.88,BE,1,0,0,0,TL,3.2,65.9,29,0.295
Rainbow Trout,Oncorhynchus mykiss,"BLAST, Greig and Gnaedinger 1971",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,1,1,0,0,PE,0,0,1,1,TL,4.1,122,11,1.44,BP,0,1,0,0,TL,3.7,80,NA,0.996
Sockeye Salmon,Oncorhynchus nerka,BLAST,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,PE,0,0,1,0,TL,3.5,84,8,2.88,BE,1,0,0,0,TL,3.8,200,NA,0.407
Chinook Salmon,Oncorhynchus tshawytscha,BLAST,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,BP,0,1,0,1,TL,4.4,150,9,1.5,BE,1,0,0,0,TL,4.4,168,48,NA
NA,Onychostoma macrolepis,BLAST,Cyprinidae,Cypriniformes ,Actinopteri,0,Subtropical,Asia,0,1,1,0,BP,0,1,0,0,IN,NA,26.5,NA,NA,BE,1,0,0,0,TL,4,150,18,0.518
Blue Tilapia,Oreochromis aureus,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Worldwide,0,1,1,0,BP,0,1,0,1,TL,2.1,45.7,NA,0.428,BE,1,0,0,0,TL,4.3,56.3,NA,0.611
Nile Tilapia,Oreochromis niloticus,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,1,0,BP,0,1,0,1,TL,2,60,9,0.407,BE,1,0,0,0,TL,3.3,15.2,NA,NA
Javenese Ricefish,Oryzias javanicus,BLAST,Adrianichthyidae,Beloniformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BP,0,1,0,0,IN,3.4,4.5,NA,NA,BE,1,0,0,0,TL,2.8,90,NA,0.314
Japenese Rice Fish,Oryzias latipes,BLAST,Adrianichthyidae,Beloniformes,Actinopteri,0,Subtropical,Asia,0,1,1,0,BP,0,1,0,0,TL,3.4,4,NA,NA,BE,1,0,0,0,IN,2.3,11.3,NA,NA
Indian Medaka,Oryzias melastigma,BLAST,Adrianichthyidae,Beloniformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BP,0,1,0,0,TL,3.3,4,NA,NA,BP,0,1,0,0,IN,2.9,9,NA,NA
European Smelt,Osmerus eperlanus,Hirn and Pekkanen 1975,Osmeridae,Osmeriformes,Actinopteri,0,Temperate,Europe,1,NA,0,1,PE,0,0,1,0,TL,3.5,45,10,1.7,BE,1,0,0,0,TL,2.9,100,NA,0.313
Rainbow Smelt,Osmerus mordax,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Zajicek et al. 2005, Kraft et al. 2014, Honeyfield et al. 2010, Nielands 1947, Gnaedinger and Krzeczkowski 1966",Osmeridae,Osmeriformes,Actinopteri,0,Temperate,Worldwide,1,NA,1,0,BE,1,0,0,1,TL,3,35.6,7,1.57,BE,1,0,0,0,TL,4.7,200,30,1.17
Striped Catfish,Pangasianodon hypophthalmus,BLAST,Pangasiidae,Siluriformes,Actinopteri,1,Tropical,Asia,0,1,1,0,BP,0,1,0,0,IN,3.1,130,NA,0.16,BE,1,0,0,0,TL,3.4,60,NA,0.136
Bastard Halibut,Paralichthys olivaceus,BLAST,Paralichthyidae,Pleuronectiformes,Actinopteri,0,Subtropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,4.5,103,NA,0.284,BP,0,1,0,0,IN,3.3,8,NA,NA
Indian Glassy Fish,Pseudambassis ranga,BLAST,Ambassidae,Ovalentaria,Actinopteri,1,Tropical,Asia,0,1,1,0,BE,1,0,0,0,TL,3.5,8.2,NA,0.589,BP,0,1,0,0,TL,4,43.5,4,0.585
NA,Paramormyrops kingsleyae,BLAST,Mormyridae,Osteoglossiformes,Actinopteri,1,Tropical,Africa,0,1,1,0,BP,0,1,0,0,IN,3.2,13.5,NA,NA,BP,0,1,0,0,IN,3.2,6.5,NA,0
Yellow Perch,Perca flavescens,"BLAST, Tillitt et al. 2005, Greig and Gnaedinger 1971, Nielands 1947",Percidae,Perciformes,Actinopteri,0,Subtropical,North America,1,1,0,0,BP,0,1,0,0,TL,3.7,50,11,0.305,BP,0,1,0,0,TL,3.7,100,7,2.35
European Perch,Perca fluviatilis,"BLAST, Arsan 1970",Percidae,Perciformes,Actinopteri,0,Temperate,Eurasia,0,1,0,0,BE,1,0,0,1,TL,4.4,60,22,0.56,PE,0,0,1,0,TL,3.5,84,8,2.88
