Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Broad-Striped Anchovy,Anchoa hepsetus,Greig and Gnaedinger 1971,Engraulidae,Clupeiformes,Actinopteri,0,Subtropical,Worldwide,1,NA,1,1,PE,0,0,1,0,TL,3.3,15.3,NA,1.11,BP,0,1,0,1,TL,2,48,41,NA
European Eel,Anguilla anguilla,BLAST,Anguillidae,Anguilliformes,Actinopteri,0,Temperate,Worldwide,0,1,0,0,BE,1,0,0,1,TL,3.6,122,88,1.27,BP,0,1,0,0,TL,4.3,150,50,1.07
Japanese Eel,Anguilla japonica,Fujita 1954,Anguillidae,Anguilliformes,Actinopteri,0,Subtropical,Asia,1,NA,1,1,BE,1,0,0,0,TL,3.6,150,NA,0.757,BP,0,1,0,0,TL,3.2,100,50,1.55
American Eel,Anguilla rostrata,"Greig and Gnaedinger 1971, Nielands 1947",Anguillidae,Anguilliformes,Actinopteri,0,Subtropical,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,3.8,152,43,0.777,BE,1,0,0,1,TL,4.4,120,11,0.957
NA,Aphyosemion striatum,BLAST,Nothobranchiidae,Cyprinodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3.2,6,NA,NA,BP,0,1,0,1,IN,3.8,97,23,0.397
Freshwater Drum,Aplodinotus grunniens,Greig and Gnaedinger 1971,Sciaenidae,Eupercaria,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,0,TL,3.4,95,13,NA,BP,0,1,0,0,TL,3.3,9,5,NA
Flier Cichlid,Archocentrus centrarchus,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Central America,0,1,0,0,BP,0,1,0,0,IN,2.6,11,NA,NA,BP,0,1,0,1,TL,4.1,137,30,0.632
Burton'S Mouthbrooder,Astatotilapia burtoni,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,1,0,BP,0,1,0,0,IN,3.1,15,NA,NA,BP,0,1,0,1,IN,3.3,40,12,NA
Eastern Happy,Astatotilapia calliptera,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,3,15,NA,NA,BE,1,0,0,1,TL,3,35.6,7,1.57
Mexican Tetra,Astyanax mexicanus,BLAST,Characidae,Characiformes,Actinopteri,0,Subtropical,North America,0,1,1,0,BP,0,1,0,0,IN,3.2,12,NA,NA,PE,0,0,1,1,TL,4.1,122,11,1.44
NA,Austrofundulus limnaeus,BLAST,Rivulidae,Cyprinodontiformes,Actinopteri,1,Tropical,South America,0,1,0,0,BP,0,1,0,0,IN,3.3,8,NA,NA,BP,0,1,0,0,IN,3.4,43,18,NA
Frigate Tuna,Auxis thazard,Fujita 1954,Scombridae,Scombriformes ,Actinopteri,1,Tropical,Worldwide,1,NA,1,1,PE,0,0,1,0,TL,4.4,65,5,0.358,BE,1,0,0,1,TL,3.3,30,6,NA
Giant Devil Catfish,Bagarius yarrelli,BLAST,Sisoridae,Siluriformes,Actinopteri,1,Tropical,Asia,0,1,1,0,BE,1,0,0,0,IN,3.7,200,NA,0.171,BE,1,0,0,0,TL,3.3,59,16,NA
Siamese Fighting Fish,Betta splendens,BLAST,Osphronemidae,Anabantiformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BP,0,1,0,0,IN,3.3,6.5,2,NA,BP,0,1,0,0,IN,4.1,76,18,NA
White Bream,Blicca bjoerkna,Chaet and Bishop 1952,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,Europe,1,NA,1,0,BE,1,0,0,0,TL,3.2,45.5,NA,NA,BE,1,0,0,0,TL,3.9,60,14,0.903
Great Blue Spotted Mudskipper,Boleophthalmus pectinirostris,BLAST,Oxudercidae,Gobiiformes,Actinopteri,1,Tropical,Asia,0,1,0,1,BE,1,0,0,0,TL,2,20,4,NA,BP,0,1,0,1,IN,3.6,69,26,NA
Gulf Menhaden,Brevoortia patronus,Greig and Gnaedinger 1971,Clupeidae,Clupeiformes,Actinopteri,0,Subtropical,North America,1,NA,1,1,PE,0,0,1,0,TL,2.2,35,NA,0.552,BE,1,0,0,0,IN,2.1,15,5,NA
Atlantic Menhaden,Brevoortia tyrannus,Greig and Gnaedinger 1971,Clupeidae,Clupeiformes,Actinopteri,0,Subtropical,North America,1,NA,1,1,PE,0,0,1,0,TL,3.2,50,NA,1.22,BP,0,1,0,0,TL,4.5,107,29,0.429
Cusk,Brosme brosme,"Greig and Gnaedinger 1971, Nielands 1947",Lotidae,Gadiformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,3.9,120,20,0.371,BP,0,1,0,0,TL,4,45,9,NA
Ghost Shark,Callorhinchus milii,BLAST,Callorhinchidae,Chimaeriformes,Holocephali,0,Subtropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.6,125,NA,0.489,BP,0,1,0,1,TL,3.1,58,16,0.68
Central Stoneroller,Campostoma anomalum,"Boggs et al. 2019, Kraft et al. 2014",Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,North America,1,NA,1,0,BP,0,1,0,0,IN,2,22,NA,NA,BP,0,1,0,0,IN,2.8,65,12,1.28
Bluefin Trevally,Caranx melampygus,BLAST,Carangidae,Carangiformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,4.5,117,NA,0.291,BP,0,1,0,0,TL,3.7,50,11,0.305
Goldfish,Carassius auratus,"BLAST, Greig and Gnaedinger 1971",Cyprinidae,Cypriniformes ,Actinopteri,0,Subtropical,Worldwide,1,1,1,0,BP,0,1,0,1,TL,2,48,41,NA,PE,0,0,1,0,TL,3.3,15.3,NA,1.11
