year,SampleID,thiaminase,common,species,stage,area,haul,station
2021,21-ANCH-9C,7.3,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9D,156.6,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9E,23.3,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-10A,3.5,Northern Anchovy,Engraulis mordax,YOY,Southern California Bight,37,484
2021,21-ANCH-10B,10.8,Northern Anchovy,Engraulis mordax,YOY,Southern California Bight,37,484
2021,21-ANCH-10C,18.7,Northern Anchovy,Engraulis mordax,YOY,Southern California Bight,37,484
2021,21-ANCH-10D,59.6,Northern Anchovy,Engraulis mordax,YOY,Southern California Bight,37,484
2021,21-ANCH-11A,33.1,Northern Anchovy,Engraulis mordax,YOY,Southern California Bight,40,401
2021,21-ANCH-12A,60.9,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-12B,24.8,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-12C,97.4,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-12D,83.5,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-12E,18.2,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-13A,31.2,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-13B,4.4,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-13C,6.1,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-13D,46.2,Northern Anchovy,Engraulis mordax,Adult,Gulf of the Farallones region,57,135
2021,21-ANCH-14A,11.7,Northern Anchovy,Engraulis mordax,Adult,Navarro Area,63,174
2021,21-ANCH-14B,31.3,Northern Anchovy,Engraulis mordax,Adult,Navarro Area,63,174
2021,21-ANCH-14C,89.4,Northern Anchovy,Engraulis mordax,Adult,Navarro Area,63,174
2021,21-ANCH-14D,16.2,Northern Anchovy,Engraulis mordax,Adult,Navarro Area,63,174
2021,21-ANCH-15A,44.7,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,55,133
2021,21-ANCH-15B,53.0,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,55,133
2021,21-ANCH-15C,11.9,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,55,133
2021,21-ANCH-15D,92.7,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,55,133
2021,21-ANCH-15E,17.1,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,55,133
2021,21-ANCH-16A,25.1,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,57,135
2021,21-ANCH-16B,50.0,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,57,135
2021,21-ANCH-16C,165.6,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,57,135
2021,21-ANCH-16D,70.6,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,57,135
2021,21-ANCH-16E,28.0,Northern Anchovy,Engraulis mordax,YOY,Gulf of the Farallones region,57,135
