Common,Scientific,Source,Order,Class,Tropical,Trop_Subtrop,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Confirmed,Thiamine,Thiaminase_activity,Marine,Habitat1,Habitat2,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Black Rockcod,Notothenia coriiceps,BLAST,Perciformes,Actinopteri,0,0,Polar,Antarctica,0,1,0,0,,,1,OS,BE,0,TL,2.8,62,NA,0.289
Bastard Halibut,Paralichthys olivaceus,BLAST,Pleuronectiformes,Actinopteri,0,1,Subtropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,4.5,103,NA,0.284
European Perch,Perca fluviatilis,"BLAST, Arsan 1970",Perciformes,Actinopteri,0,0,Temperate,Eurasia,0,1,0,0,,,0,NS,BE,1,TL,4.4,60,22,0.56
Mudskipper,Periophthalmus magnuspinnatus,BLAST,Gobiiformes,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,0,NS,BE,0,IN,3.2,10.3,NA,NA
Leopard Coralgrouper,Plectropomus leopardus,BLAST,Perciformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,4.4,120,26,0.143
Guppy,Poecilia reticulata,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,South America,0,1,0,0,,,0,NS,BP,1,TL,3.2,6,NA,NA
Blackstripe Livebearer,Poeciliopsis prolifica,BLAST,Cyprinodontiformes,Actinopteri,0,1,Subtropical,Central America,0,1,0,0,,,0,NS,BP,0,TL,NA,3,NA,NA
Mississippi Paddlefish,Polyodon spathula,BLAST,Acipenseriformes,Actinopteri,0,1,Subtropical,North America,0,1,1,0,,,0,NS,BE,1,IN,3.4,221,55,0.285
Gray Bichir,Polypterus senegalus,BLAST,Polypteriformes,Actinopteri,1,1,Tropical,Africa,0,1,1,0,,,0,NS,BE,0,IN,3.5,70,NA,0.227
West African Lungfish,Protopterus annectens,BLAST,Ceratodontiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BE,0,IN,3.8,100,NA,NA
South Georgia Icefish,Pseudochaenichthys georgianus,BLAST,Perciformes,Actinopteri,0,0,Polar,Antarctica,0,1,0,0,,,1,OS,BE,0,TL,3.4,60,NA,0.335
NA,Pundamilia nyererei,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,2.6,7.7,NA,NA
Whale Shark,Rhincodon typus,BLAST,Orectolobiformes,Elasmobranchii,0,1,Subtropical,Worldwide,0,1,0,0,,,1,OS,PE,0,TL,3.6,1700,80,NA
Jewelled Blenny,Salarias fasciatus,BLAST,Blenniiformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,2,14,NA,0.186
Arctic Char,Salvelinus alpinus,BLAST,Salmoniformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,NS,BP,0,TL,4.4,107,40,1.82
Pike-Perch,Sander lucioperca,BLAST,Perciformes,Actinopteri,0,0,Temperate,Eurasia,0,1,0,0,,,0,NS,PE,1,TL,4,100,17,1.15
Turbot,Scophthalmus maximus,BLAST,Pleuronectiformes,Actinopteri,0,0,Temperate,Europe,0,1,0,0,,,1,OS,BE,0,TL,4.4,100,25,0.592
Lesser Spotted Dogfish,Scyliorhinus canicula ,BLAST,Carcharhiniformes,Elasmobranchii,0,1,Subtropical,Europe,0,1,0,0,,,1,OS,BE,0,TL,3.8,100,12,0.202
Honeycomb Rockfish,Sebastes umbrosus,BLAST,Perciformes,Actinopteri,0,1,Subtropical,North America,0,1,0,0,,,1,NS,BE,0,TL,3.6,29.8,NA,NA
Greater Amberjack,Seriola dumerili,BLAST,Carangiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,0,0,,,1,NS,BE,0,TL,4.5,190,15,0.224
Yellowtail Amberjack,Seriola lalandi,BLAST,Carangiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,0,0,,,1,NS,BP,0,TL,4.2,250,12,0.679
NA,Simochromis diagramma,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,2,19.5,NA,NA
Mandarin Fish,Siniperca chuatsi,BLAST,Centrarchiformes,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,0,NS,BP,0,IN,4.5,70,9,NA
Golden-Line Barbel,Sinocyclocheilus grahami,BLAST,Cypriniformes ,Actinopteri,0,0,Temperate,Asia,0,1,1,0,,,0,NS,BP,0,IN,2.9,23,NA,NA
Sengalese Sole,Solea senegalensis,BLAST,Pleuronectiformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,1,NS,BE,0,TL,3.3,60,NA,0.158
Gilthead Seabream,Sparus aurata,BLAST,Eupercaria,Actinopteri,0,1,Subtropical,Europe,0,1,0,0,,,1,NS,BE,0,TL,3.7,70,11,1.29
Orbiculate Cardinalfish,Sphaeramia orbicularis,BLAST,Kurtiformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.6,10,NA,0.163
Bicolor Damselfish,Stegastes partitus,BLAST,Ovalentaria,Actinopteri,1,1,Tropical,Worldwide,0,1,0,0,,,1,NS,BE,0,TL,2,10,NA,0.141
Greater Pipefish,Syngnathus acus,BLAST,Syngnathiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,0,0,,,1,NS,BE,0,TL,3.3,50,NA,NA
NA,Takifugu bimaculatus,BLAST,Tetraodontiformes,Actinopteri,0,1,Subtropical,Asia,0,1,0,0,,,1,NS,BE,0,TL,3.4,30,NA,NA
Yellowbelly Pufferfish,Takifugu flavidus,BLAST,Tetraodontiformes,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,1,NS,BE,0,TL,3.4,35,NA,NA
Japenese Pufferfish,Takifugu rubripes,BLAST,Tetraodontiformes,Actinopteri,0,0,Temperate,Asia,0,1,0,0,,,1,NS,BE,0,TL,3.6,80,NA,1.09
Spotted Green Pufferfish,Tetraodon nigroviridis,BLAST,Tetraodontiformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BE,0,IN,3.4,17,NA,NA
NA,Thalassophryne amazonica,BLAST,Batrachoidiformes,Actinopteri,1,1,Tropical,South America,0,1,0,0,,,0,NS,BE,0,IN,3.4,9.3,NA,NA
Yellowfin Tuna,Thunnus albacares,BLAST,Scombriformes ,Actinopteri,1,1,Tropical,Worldwide,0,1,0,0,,,1,OS,PE,0,TL,4.4,239,9,0.573
Southern Bluefin Tuna,Thunnus maccoyii,BLAST,Scombriformes ,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,OS,PE,0,TL,3.9,245,20,0.639
Banded Archerfish,Toxotes jaculatrix,BLAST,Carangaria,Actinopteri,1,1,Tropical,Worldwide,0,1,0,0,,,1,NS,BE,0,TL,2.6,30,NA,NA
Emerald Rockcod,Trematomus bernacchii,BLAST,Perciformes,Actinopteri,0,0,Polar,Antarctica,0,1,0,0,,,1,NS,BE,0,TL,3.4,28,10,0.359
Swordfish,Xiphias gladius,BLAST,Carangiformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,OS,PE,0,TL,4.5,455,NA,0.322
Monterrey Platyfish,Xiphophorus couchianus,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,North America,0,1,0,0,,,0,NS,BP,0,IN,3.1,6,NA,NA
Bluntnose Minnow,Pimephales notatus,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,2.7,11,5,NA
Golden Shiner,Notemigonus crysoleucas,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,,0,NS,BE,0,TL,2.7,32,9,NA
Swallowtail Shiner,Notropis procne,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BP,0,IN,2.8,7.2,3,NA
Cutlip Minnow,Exoglossum maxillingua,"Boggs et al. 2019, Kraft et al. 2014",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,3,16,2,NA
Streamline Chub,Erimystax dissimilis,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,2.9,14,NA,NA
Rosyface Shiner,Notropis rubellus,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BP,0,IN,3.1,11,3,NA
Longnose Dace,Rhinichthys cataractae,"Boggs et al. 2019, Kraft et al. 2014",Cypriniformes ,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,,0,NS,BE,0,IN,3.2,22.5,5,NA
River Chub,Nocomis micropogon,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,3.2,33,5,NA
Shorthead Redhorse,Moxostoma macrolepidotum,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,TL,3.1,75,9,NA
Logperch,Percina caprodes,Boggs et al. 2019,Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.4,18,3,NA
Fallfish,Semotilus corporalis,"Boggs et al. 2019, Kraft et al. 2014",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,3.4,51,6,NA
Tessellated Darter,Etheostoma olmstedi,"Boggs et al. 2019, Kraft et al. 2014",Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BP,0,IN,2.9,11,4,NA
Banded Darter,Etheostoma zonale,Boggs et al. 2019,Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.3,7.8,4,NA
Greenside Darter,Etheostoma blennioides,Boggs et al. 2019,Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.4,17,5,NA
Longhead Darter,Percina macrocephala,Boggs et al. 2019,Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.4,12,4,NA
Ohio Lamprey,Ichthyomyzon bdellium,Boggs et al. 2019,Petromyzontiformes,Petromyzonti,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BE,0,IN,4.4,30,1,NA
Margined Madtom,Noturus insignis,Boggs et al. 2019,Siluriformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BE,0,IN,3.3,15,NA,NA
Bowfin,Amia calva,"Greig and Gnaedinger 1971, Gnaedinger and Krzeczkowski 1966",Amiiformes,Actinopteri,0,1,Subtropical,North America,1,NA,NA,0,,,0,NS,BE,0,IN,3.8,109,30,NA
Spotfin Shiner,Cyprinella spiloptera,Boggs et al. 2019,Cypriniformes ,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,,0,NS,BP,0,IN,2.8,12,5,NA
Creek Chub,Semotilus atromaculatus,"Kraft et al. 2014, Chaet and Bishop 1952",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,4,30.3,8,NA
Fantail Darter,Etheostoma flabellare,Kraft et al. 2014,Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.2,8.4,4,NA
Hickory Shad,Alosa mediocris,Kraft et al. 2014,Clupeiformes,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,1,NS,PE,0,TL,4.1,60,NA,2.9
Atlantic Wolffish,Anarchichas lupus,Nielands 1947,Perciformes,Actinopteri,0,0,Temperate,Worldwide,1,NA,0,0,,,1,OS,BE,0,TL,3.6,150,NA,0.352
European Smelt,Osmerus eperlanus,Hirn and Pekkanen 1975,Osmeriformes,Actinopteri,0,0,Temperate,Europe,1,NA,0,0,,25,1,NS,PE,0,TL,3.5,45,10,1.7
Common Dace,Leuciscus grislagine,Hirn and Pekkanen 1975,Cypriniformes ,Actinopteri,0,0,Temperate,Eurasia,1,NA,1,0,,11500,0,NS,BP,1,TL,2.9,40,16,NA
Amur Catfish,Silurus asotus,Fujita 1954,Siluriformes,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,0,NS,BE,0,IN,4.4,130,NA,NA
Pond Loach,Misgurnus anguillicaudatus,Fujita 1954,Cypriniformes ,Actinopteri,0,1,Subtropical,Worldwide,1,NA,1,0,,,0,NS,BE,1,TL,3.2,28,NA,NA
NA,Eleotris oxycephala,Fujita 1954,Gobiiformes,Actinopteri,0,1,Subtropical,Asia,1,NA,1,0,,,1,NS,BE,0,TL,3.7,19,NA,NA
Frigate Tuna,Auxis thazard,Fujita 1954,Scombriformes ,Actinopteri,1,1,Tropical,Worldwide,1,NA,1,0,,,1,OS,PE,0,TL,4.4,65,5,0.358
Japanese Eel,Anguilla japonica,Fujita 1954,Anguilliformes,Actinopteri,0,1,Subtropical,Asia,1,NA,1,0,,,1,NS,BE,0,TL,3.6,150,NA,0.757
Yellowfin Goby,Acanthogobius flavimanus,Fujita 1954,Gobiiformes,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,1,NS,BE,0,TL,3.4,30,NA,NA
NA,Ischikauia steenackeri,Fujita 1954,Cypriniformes ,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,0,NS,BE,0,IN,3.2,30,NA,NA
NA,Odontobutis obscurus,Fujita 1954,Gobiiformes,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,0,NS,BP,0,IN,3.2,17.5,NA,NA
NA,Gnathopogon mayedae,Fujita 1954,NA,NA,NA,NA,NA,Asia,1,NA,1,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Rhinogobius similis,Fujita 1954,Gobiiformes,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,0,NS,BP,1,IN,3.3,10,NA,NA
Pond Smelt,Hypomessus olidus,Fujita 1954,Osmeriformes,Actinopteri,0,0,Boreal,Worldwide,1,NA,1,0,,,1,NS,PE,0,TL,3.2,20,10,
Sand-Table Dwarfgoby,Eviota abox,Fujita 1954,Gobiiformes,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,1,NS,BE,0,TL,3.2,4,NA,NA
Ice Goby,Leucopsarion petersi,Fujita 1954,Gobiiformes,Actinopteri,0,1,Subtropical,Asia,1,NA,0,0,,,1,NS,BE,0,TL,3.3,5.8,NA,NA
Whitespotted Conger,Conger myriaster,Fujita 1954,Anguilliformes,Actinopteri,0,0,Temperate,Asia,1,NA,0,0,,,1,OS,BE,0,TL,4,100,8,0.523
Ayu Sweetfish,Plecoglossus altivelis,Fujita 1954,Osmeriformes,Actinopteri,0,1,Subtropical,Asia,1,NA,0,0,,,1,NS,BE,0,TL,2.8,70,3,0.657
