Common,Scientific,Source,Order,Class,Tropical,Trop_Subtrop,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Confirmed,Thiamine,Thiaminase_activity,Marine,Habitat1,Habitat2,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Blue Tilapia,Oreochromis aureus,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Worldwide,0,1,1,0,,,0,NS,BP,1,TL,2.1,45.7,NA,0.428
Green Swordtail,Xiphophorus hellerii,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Worldwide,0,1,1,0,,,0,NS,BP,1,TL,3.2,14,NA,NA
Atlantic Silverside,Menidia menidia,BLAST,Atheriniformes,Actinopteri,0,0,Temperate,North America,0,1,1,0,,,0,NS,PE,0,TL,3.2,15,2,1.21
Denticle Herring,Denticeps clupeoides,BLAST,Clupeiformes,Actinopteri,1,1,Tropical,Africa,0,1,1,0,,,0,NS,PE,0,IN,3.3,15,NA,NA
Sailfin Molly,Poecilia latipinna,BLAST,Cyprinodontiformes,Actinopteri,0,1,Subtropical,North America,0,1,1,0,,,1,NS,BP,1,TL,2,15,NA,NA
Southern Platyfish,Xiphophorus maculatus,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Central America,0,1,1,0,,,0,NS,BP,1,IN,3.2,4,NA,NA
Amazon Molly,Poecilia formosa,BLAST,Cyprinodontiformes,Actinopteri,0,1,Subtropical,North America,0,1,1,0,,,0,NS,BP,0,TL,2.5,9.6,NA,NA
Shortfin Molly,Poecilia mexicana,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,Central America,0,1,1,0,,,0,NS,BP,1,TL,2,11,NA,NA
Burton'S Mouthbrooder,Astatotilapia burtoni,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Africa,0,1,1,0,,,0,NS,BP,0,IN,3.1,15,NA,NA
Mosquitofish,Gambusia affinis,BLAST,Cyprinodontiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,1,0,,,0,NS,BP,1,TL,3.1,5.1,3,NA
Indian Glassy Fish,Parambassis ranga,BLAST,Ovalentaria,Actinopteri,1,1,Tropical,Asia,0,1,1,0,,,0,NS,BE,0,TL,3.5,8.2,NA,0.589
Wagur,Clarias magur,BLAST,Siluriformes,Actinopteri,1,1,Tropical,Asia,0,1,1,0,,,0,NS,BE,1,TL,3.4,35,NA,NA
Japenese Rice Fish,Oryzias latipes,BLAST,Beloniformes,Actinopteri,0,1,Subtropical,Asia,0,1,1,0,,,0,NE,BP,0,TL,3.4,4,NA,NA
Indo-Pacific Tarpon,Megalops cyprinoides,BLAST,Elopiformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,1,0,,,1,NS,BP,0,TL,3.5,150,44,0.434
NA,Paramormyrops kingsleyae,BLAST,Osteoglossiformes,Actinopteri,1,1,Tropical,Africa,0,1,1,0,,,0,NS,BP,0,IN,3.2,13.5,NA,NA
Tarpon,Megalops atlanticus,BLAST,Elopiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,1,0,,,1,NS,BE,0,TL,4.5,250,55,0.433
Asian Bonytongue,Scleropages formosus,BLAST,Osteoglossiformes,Actinopteri,1,1,Tropical,Asia,0,1,1,0,,,0,NS,BP,0,IN,3.9,90,NA,NA
Red Cornet Fish,Fistularia petimba,Nishimune et al. 2008,Syngnathiformes,Actinopteri,1,1,Tropical,Worldwide,1,NA,1,0,,,1,NS,BE,0,TL,4.4,200,NA,0.211
Crucian Carp,Carassius carassius,"Wistbacka et al. 2009, Chaet and Bishop 1952, Fujita 1954",Cypriniformes ,Actinopteri,0,0,Temperate,Asia,1,NA,1,0,,,0,NS,BE,1,TL,3.1,64,10,1.45
Slimy Sculpin,Cottus cognatus,Honeyfield et al. 2010,Perciformes,Actinopteri,0,0,Temperate,Worldwide,1,NA,1,0,,,0,NS,BE,0,TL,3.4,12.1,7,NA
European Sprat,Sprattus sprattus,Wistbacka et al. 2008,Clupeiformes,Actinopteri,0,0,Temperate,Europe,1,NA,0,0,,,1,NS,PE,0,TL,3,16,6,1.16
Three-Spined Stickleback,Gasterosteus aculeatus,"BLAST, Wistbacka et al. 2008",Perciformes,Actinopteri,0,1,Subtropical,Worldwide,1,1,0,1,,,1,NS,BP,0,TL,3.3,11,8,0.997
Atlantic Salmon,Salmo salar,"BLAST, Greig and Gnaedinger 1971, Nielands 1947",Salmoniformes,Actinopteri,0,0,Temperate,Worldwide,1,1,0,1,,4.666666667,1,NS,BP,0,TL,4.5,150,13,1.81
Banded Killifish,Fundulus diaphanus,"Boggs et al. 2019, Kraft et al. 2014, Nielands 1947",Cyprinodontiformes,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,52.33333333,0,NS,BP,0,TL,3.3,13,NA,NA
Brown Bullhead,Ameiurus nebulosus,Nielands 1947,Siluriformes,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,21.66666667,0,NS,BE,1,IN,3.7,55,9,NA
Cod,Gadus morhua,"BLAST, Greig and Gnaedinger 1971, Nielands 1947",Gadiformes,Actinopteri,0,0,Temperate,Worldwide,1,1,0,1,,2,1,NS,BP,0,TL,4.1,200,25,0.953
Vendace,Coregonus albula,Hirn and Pekkanen 1975,Salmoniformes,Actinopteri,0,0,Temperate,Europe,1,NA,0,0,,30,1,NS,BP,0,TL,3.1,48,10,1.74
Redbelly Tilapia,Coptodon zillii,Okonji et al. 2013,Cichliformes,Actinopteri,1,1,Tropical,Africa,1,NA,1,0,,,0,NS,BP,1,TL,2.5,40,7,0.462
White Bream,Blicca bjoerkna,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,0,Temperate,Europe,1,NA,1,0,,,0,NS,BE,0,TL,3.2,45.5,NA,NA
Freshwater Bream,Abramis brama,"Chaet and Bishop 1952, Arsan 1970",Cypriniformes ,Actinopteri,0,0,Temperate,Eurasia,1,NA,1,0,,,0,NS,BP,0,TL,3.1,82,23,1.24
Vimba Bream,Vimba vimba,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,1,Subtropical,Eurasia,1,NA,1,0,,,0,NS,BP,0,TL,3.3,50,15,NA
Asp,Leuciscus aspius,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,0,Temperate,Eurasia,1,NA,1,0,,,0,NS,BP,0,TL,4.5,120,11,1.51
Mississippi Silvery Minnow,Hybognathus nuchalis,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,,0,NS,BP,0,IN,NA,18,2,NA
Rudd,Scardinius erythrophthalmus,"Chaet and Bishop 1952, Arsan 1970",Cypriniformes ,Actinopteri,0,0,Temperate,Eurasia,1,NA,1,0,,,0,NS,BP,1,TL,2.9,61.7,19,1.25
Ide,Leuciscus idus,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,0,Temperate,Eurasia,1,NA,1,0,,,0,NS,BP,0,TL,3.8,85,18,1.37
